pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
154.765,-86.05,90.0,top,J12,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
155.4,-104.3,0.0,top,J13,,,TE_mezzanine_rec_3-2363961-0,TE 3-2363961-0 receptacle,smt
160.85,-98.625,0.0,top,J15,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
155.4,-89.3,0.0,top,J16,,,TE_mezzanine_rec_3-2363961-0,TE 3-2363961-0 receptacle,smt
156.025,-107.1,-90.0,top,J18,,,Precidip 852-10-004-20-001101,Precidip 852-10-004-20-001101,tht
149.95,-109.945,180.0,top,J2,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
161.1,-104.2,-90.0,bottom,J3,,,fpc_7pin_0.3mm_connector Aces,FPC 0.3mm Aces 51688-0070M,smt
149.95,-99.92,180.0,top,J4,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
149.715,-104.2,90.0,bottom,J5,,,fpc_7pin_0.3mm_connector Aces,FPC 0.3mm Aces 51688-0070M,smt
160.85,-83.63,0.0,top,J6,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
160.85,-93.68,0.0,top,J7,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
161.075,-88.0,-90.0,bottom,J8,,,fpc_7pin_0.3mm_connector Aces,FPC 0.3mm Aces 51688-0070M,smt
149.95,-94.945,180.0,top,J9,,,Precidip 853-87-004-20-001101,Precidip 853-87-004-20-001101,tht
159.225,-101.65,90.0,top,R1,,,R_0402_1005Metric,100k,smt
158.175,-109.475,0.0,bottom,R10,,,R_0402_1005Metric,100 ohm,smt
152.2,-106.8,180.0,bottom,R11,,,R_0402_1005Metric,470k,smt
153.6,-106.5,-90.0,bottom,R12,,,R_0402_1005Metric,332k,smt
159.05,-95.85,-90.0,bottom,R13,,,R_0402_1005Metric,10k,smt
152.575,-110.625,90.0,top,R14,,,R_0402_1005Metric,100k,smt
149.925,-107.5,0.0,bottom,R15,,,R_0402_1005Metric,6.04k,smt
158.15,-82.825,180.0,bottom,R16,,,R_0402_1005Metric,120ohm,smt
160.9,-102.425,180.0,top,R17,,,R_0402_1005Metric,10k,smt
149.25,-101.775,180.0,bottom,R18,,,R_0402_1005Metric,10k,smt
161.25,-89.475,0.0,top,R19,,,R_0402_1005Metric,10k,smt
161.415,-106.6,0.0,bottom,R2,,,R_0402_1005Metric,10k,smt
149.55,-86.925,180.0,bottom,R20,,,R_0402_1005Metric,10k,smt
152.025,-109.2,180.0,top,R21,,,R_0402_1005Metric,150k,smt
160.325,-86.7,180.0,top,R22,,,R_0402_1005Metric,10k,smt
151.2,-91.3,180.0,top,R3,,,R_0402_1005Metric,33ohm,smt
149.7,-91.565001,90.0,top,R4,,,R_0402_1005Metric,33ohm,smt
151.375,-94.8,0.0,bottom,R5,,,R_0402_1005Metric,33ohm,smt
149.975,-96.55,0.0,top,R6,,,R_0402_1005Metric,22 ohm,smt
152.625,-107.0,180.0,top,R7,,,R_0402_1005Metric,10k,smt
158.775,-107.275,90.0,top,R8,,,R_0402_1005Metric,10k,smt
157.675,-107.45,90.0,top,R9,,,R_0402_1005Metric,10k,smt
161.3,-105.1,90.0,top,SW1,,,R-667995_MIT,Mitsumi R-667996,smt
149.5,-104.2,90.0,top,SW2,,,R-667995_MIT,Mitsumi R-667996,smt
155.575,-96.1,90.0,top,U1,,,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,ESP32-S3 FN8,smt
158.45,-92.075,180.0,bottom,U2,,,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,SN74LV595A,smt
152.375,-85.075,0.0,bottom,U3,,,SOT-583-8,THVD1420DRLR,smt
152.625,-109.525,180.0,bottom,U4,,,QFN-10_10VQFN_2x2mm_P0.5mm,TPS2521ARPWR,smt
155.65,-96.25,90.0,bottom,U5,,,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,SN74LV595A,smt
